grower_label,site_key,location_id,location_name,iso_year,iso_week,week_start,risk_score,risk_score_raw,clim_score,risk_vs_clim,risk_band,count_dinophysis,y_dinophysis,y_dinophysis_nowcast,dsp_closure_risk,sst,ssta,status,role,split,latitude,longitude
Mannin,mannin,177,Mannin,2024,13,2024-03-25,0.0005931198102016608,0.001846325680715563,0.0019342359767891683,-0.0013411161665875075,Lower,0.0,0,0,,,,active,nmp_core,test,53.45944,-10.07
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,13,2024-03-25,0.0005931198102016608,0.0016497298820992831,0.0019342359767891683,-0.0013411161665875075,Lower,0.0,0,0,,,,active,nmp_nearby,test,53.50917,-10.07139
Clifden,clifden,650,Cliffden Outer,2024,13,2024-03-25,0.0005931198102016608,0.001720894072456841,0.0019342359767891683,-0.0013411161665875075,Lower,0.0,0,0,,,,active,nmp_core,test,53.4915,-10.13339
Ballynakill,ballynakill,163,Ballynakill,2024,14,2024-04-01,0.0005931198102016608,0.0024746326552828263,0.010810810810810811,-0.01021769100060915,Lower,0.0,0,0,0.2665274878218511,10.16,0.7824000000000009,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,14,2024-04-01,0.0005931198102016608,0.0027478511270354567,0.010810810810810811,-0.01021769100060915,Lower,0.0,0,0,0.03162055335968379,10.16,0.7824000000000009,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,14,2024-04-01,0.0005931198102016608,0.0033896124876155744,0.010810810810810811,-0.01021769100060915,Lower,0.0,0,0,0.03162055335968379,10.16,0.7824000000000009,active,nmp_core,test,53.60389,-9.80278
Rosmuc,rosmuc,174,Rosmuc,2024,14,2024-04-01,0.005050505050505051,0.01432806987473968,0.010810810810810811,-0.0057603057603057605,Lower,0.0,0,0,,,,active_oisst_gap,nmp_core,test,53.33194,-9.59861
Killary Outer,killary_outer,175,Killary Harbour Outer,2024,14,2024-04-01,0.0005931198102016608,0.0038859516035674624,0.010810810810810811,-0.01021769100060915,Lower,0.0,0,0,0.052845528455284556,10.16,0.7824000000000009,active,nmp_core,test,53.61472,-9.83306
Mannin,mannin,177,Mannin,2024,14,2024-04-01,0.0005931198102016608,0.004316127367577042,0.010810810810810811,-0.01021769100060915,Lower,0.0,0,0,,10.32,0.7901454545454545,active,nmp_core,test,53.45944,-10.07
Gubbaros (nearby),gubbaros_nearby,179,Gubbaros,2024,14,2024-04-01,0.0005931198102016608,0.003919149200721616,0.010810810810810811,-0.01021769100060915,Lower,0.0,0,0,0.1423948220064725,10.18,0.7243636363636359,active,nmp_nearby,test,53.50917,-10.07139
Ballynakill,ballynakill,163,Ballynakill,2024,15,2024-04-08,0.0005931198102016608,0.003103321445876703,0.01896551724137931,-0.018372397431177648,Lower,0.0,0,0,,10.19,0.4181090909090912,active,nmp_core,test,53.57167,-9.99722
Killary Inner,killary_inner,171,Killary Harbour Inner,2024,15,2024-04-08,0.0005931198102016608,0.003425879267326106,0.01896551724137931,-0.018372397431177648,Lower,0.0,0,0,0.03162055335968379,10.19,0.4181090909090912,active,nmp_core,test,53.6,-9.75528
Killary Middle,killary_middle,172,Killary Harbour Middle,2024,15,2024-04-08,0.0005931198102016608,0.00422532334113962,0.01896551724137931,-0.018372397431177648,Lower,0.0,0,0,0.03162055335968379,10.19,0.4181090909090912,active,nmp_core,test,53.60389,-9.80278
