year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun,station_no,station_name
1958,2,7.8,14.4,-1.8,10.5,5.1,130.8,-3.2,9.6,64.0,51.0,2275,Valentia Observatory
1958,3,7.3,14.4,-2.7,9.8,4.8,133.5,-3.5,12.0,59.0,69.5,2275,Valentia Observatory
1958,4,9.1,21.1,0.2,12.1,6.0,40.6,-1.8,9.3,49.0,134.8,2275,Valentia Observatory
1958,5,10.5,21.7,2.2,13.8,7.2,123.1,-0.3,10.2,66.0,168.4,2275,Valentia Observatory
1958,6,13.0,18.9,7.6,15.8,10.2,131.2,4.9,10.0,44.0,139.1,2275,Valentia Observatory
1958,7,14.6,21.4,6.7,17.5,11.6,108.2,5.2,7.8,45.0,118.6,2275,Valentia Observatory
1958,8,15.1,21.6,7.8,17.7,12.4,143.1,7.3,10.0,39.0,131.3,2275,Valentia Observatory
1958,9,15.0,21.7,5.1,17.9,12.0,198.9,2.6,10.7,56.0,103.3,2275,Valentia Observatory
1958,10,11.8,16.7,5.1,14.0,9.6,103.8,2.7,8.2,37.0,56.0,2275,Valentia Observatory
1958,11,10.0,15.0,1.4,12.4,7.6,107.2,-0.4,8.3,41.0,46.0,2275,Valentia Observatory
1958,12,6.8,12.8,-2.1,9.8,3.9,150.0,-5.3,10.1,64.0,51.6,2275,Valentia Observatory
1959,1,6.0,12.2,-3.8,8.9,3.1,120.1,-8.3,10.5,61.0,71.9,2275,Valentia Observatory
1959,2,8.6,13.3,-2.8,11.0,6.3,46.9,-5.9,11.7,49.0,64.6,2275,Valentia Observatory
1959,3,8.6,14.2,1.7,11.5,5.7,168.9,-0.9,12.5,58.0,102.0,2275,Valentia Observatory
1959,4,9.2,14.3,1.4,12.1,6.4,106.8,-0.8,10.8,73.0,143.0,2275,Valentia Observatory
1959,5,12.2,24.1,2.1,16.3,8.0,65.1,0.0,7.3,50.0,239.8,2275,Valentia Observatory
1959,6,13.9,24.9,5.5,17.4,10.5,67.3,4.3,9.6,45.0,224.7,2275,Valentia Observatory
