Sin,AreaName,SiteName,latitude,longitude,source,confidence,detail
SL-195-291-07,Loch Sligachan,Loch Sligachan,57.31552764,-6.12072426,sepa_swpa,high,match=area_exact;sepa=Loch Sligachan
SL-195-291-08,Loch Sligachan,Loch Sligachan,57.31552764,-6.12072426,sepa_swpa,high,match=area_exact;sepa=Loch Sligachan
AB-200-057-08,Loch Spelve: North,Site 1,56.38617242,-5.7382708,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Spelve
AB-200-059-08,Loch Spelve: North,Rhuba na Faing,56.38617242,-5.7382708,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Spelve
AB-200-1915-08,Loch Spelve: North,Ardura,56.38617242,-5.7382708,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Spelve
AB-202-059-08,Loch Spelve: Rhuba na Faing,Rhuba na Faing,56.38617242,-5.7382708,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Spelve
LH-203-127-08,Loch Stockinish,Loch Stockinish,57.81242422,-6.83600416,sepa_swpa,high,match=area_exact;sepa=Loch Stockinish
AB-205-062-08,Loch Striven,Fearna,55.92854052,-5.06907217,sepa_swpa,high,match=area_exact;sepa=Loch Striven
AB-205-063-08,Loch Striven,Troustan,55.92854052,-5.06907217,sepa_swpa,high,match=area_exact;sepa=Loch Striven
SI-216-430-08,Mid Yell Voe,Camb,60.602829229497054,-1.053795451272822,sepa_swpa,high,match=area_exact;sepa=Mid Yell Voe
SI-797-2083-08,Mid Yell Voe East,Bunya Sand,60.602829229497054,-1.053795451272822,sepa_swpa,medium,match=fuzzy_unique;sepa=Mid Yell Voe
SI-230-453-08,North Uyea,North,57.62194297,-7.12856305,sepa_swpa,medium,match=fuzzy_unique;sepa=North Uist
SI-232-435-08,Olna Firth Inner,Inner,56.76993282780515,-5.190451421711468,sepa_swpa,medium,match=fuzzy_unique;sepa=Inner Loch Linnhe
SI-523-919-08,Ronas Voe East,Clifts,60.52564473,-1.47921547,sepa_swpa,high,match=alias;sepa=Ronas Voe Area
SI-242-443-08,Sandsound Voe,Sandsound Voe,60.23241081,-1.37087683,sepa_swpa,high,match=area_exact;sepa=Sandsound Voe
UB-537-966-08,South Uist 1,Loch Skipport East,57.33306677,-7.23089131,sepa_swpa,medium,match=fuzzy_unique;sepa=South Uist
SI-273-467-08,Stromness Voe,Burra Holm,60.19037583,-1.30891805,sepa_swpa,high,match=area_exact;sepa=Stromness Voe
SI-288-455-08,Vaila Sound: East of Linga and Galtaskerry,East of Linga,60.21495422,-1.58160196,sepa_swpa,medium,match=fuzzy_unique;sepa=Vaila Sound
SI-289-458-08,Vaila Sound: Riskaness,Riskaness,60.21495422,-1.58160196,sepa_swpa,medium,match=fuzzy_unique;sepa=Vaila Sound
SI-297-469-08,Weisdale Voe,North Flotta,60.21225999,-1.31766399,sepa_swpa,high,match=area_exact;sepa=Weisdale Voe
LH-829-2215-08,West Loch Roag - Gob Sgrithir,Gob Sgrithir,58.19503091,-6.90804094,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Roag
AB-299-084-13,West Loch Tarbert: Loup Bay,Loup Bay,55.80300154,-5.50498033,sepa_swpa,medium,match=fuzzy_unique;sepa=Loch Tarbert
