year,month,precip_mm
1943,12,72.3
1944,1,108.9
1944,2,36.9
1944,3,16.9
1944,4,68.4
1944,5,45.6
1944,6,58.2
1944,7,97.1
1944,8,77.5
1944,9,132.9
1944,10,139.1
1944,11,160.3
1944,12,120.9
1945,1,88.2
1945,2,102.8
1945,3,42.3
1945,4,43.0
1945,5,98.5
1945,6,108.8
1945,7,114.4
1945,8,59.1
1945,9,92.1
1945,10,105.4
1945,11,34.2
1945,12,137.4
1946,1,125.4
1946,2,88.0
1946,3,59.2
1946,4,34.1
1946,5,64.7
1946,6,99.3
1946,7,88.1
1946,8,150.8
1946,9,162.9
1946,10,68.7
1946,11,136.6
1946,12,136.3
1947,1,135.9
1947,2,71.9
1947,3,184.8
1947,4,104.9
1947,5,115.2
1947,6,122.9
1947,7,92.0
1947,8,27.8
1947,9,79.7
1947,10,71.7
1947,11,134.6
1947,12,106.0
1948,1,200.5
1948,2,67.6
1948,3,74.8
1948,4,65.5
1948,5,59.9
1948,6,91.0
1948,7,70.8
1948,8,98.2
1948,9,93.6
1948,10,106.8
1948,11,94.0
1948,12,199.0
1949,1,71.6
1949,2,71.5
1949,3,57.5
1949,4,75.9
1949,5,60.9
1949,6,30.8
1949,7,62.3
1949,8,104.1
1949,9,63.4
1949,10,157.2
1949,11,102.5
1949,12,115.2
1950,1,68.8
1950,2,138.7
1950,3,57.6
1950,4,89.0
1950,5,31.8
1950,6,61.2
1950,7,126.1
1950,8,152.1
1950,9,164.1
1950,10,88.3
1950,11,93.5
1950,12,99.2
1951,1,125.4
1951,2,98.6
1951,3,85.8
1951,4,49.7
1951,5,56.6
1951,6,53.6
1951,7,68.9
1951,8,134.6
1951,9,128.7
1951,10,53.3
1951,11,153.6
1951,12,162.3
1952,1,127.0
1952,2,24.9
1952,3,67.6
1952,4,64.3
1952,5,65.2
1952,6,63.5
1952,7,33.0
1952,8,100.0
1952,9,53.6
1952,10,145.7
1952,11,79.7
1952,12,104.7
1953,1,40.3
1953,2,47.5
1953,3,19.9
1953,4,72.9
1953,5,59.8
1953,6,43.6
1953,7,129.0
1953,8,96.0
1953,9,107.8
1953,10,88.0
1953,11,104.3
1953,12,87.8
1954,1,79.4
1954,2,117.0
1954,3,101.5
1954,4,28.7
1954,5,104.3
1954,6,65.9
1954,7,89.4
1954,8,79.1
1954,9,129.3
1954,10,173.9
1954,11,145.0
1954,12,128.0
1955,1,111.9
1955,2,100.7
1955,3,39.6
1955,4,71.5
1955,5,91.7
1955,6,129.2
1955,7,18.9
1955,8,47.1
1955,9,83.0
1955,10,58.9
1955,11,87.7
1955,12,138.8
1956,1,106.8
1956,2,35.2
1956,3,86.4
1956,4,29.2
1956,5,44.7
1956,6,78.1
1956,7,119.8
1956,8,141.2
1956,9,122.6
1956,10,73.9
1956,11,66.7
1956,12,161.5
1957,1,127.1
1957,2,92.4
1957,3,128.7
1957,4,33.1
1957,5,59.5
1957,6,47.1
1957,7,100.2
1957,8,87.9
1957,9,166.0
1957,10,110.1
1957,11,44.0
1957,12,112.7
1958,1,131.4
1958,2,121.0
1958,3,81.3
1958,4,34.5
1958,5,110.0
1958,6,127.9
1958,7,121.2
1958,8,141.8
1958,9,139.9
1958,10,71.9
1958,11,69.1
1958,12,130.9
1959,1,84.7
1959,2,30.3
1959,3,95.7
1959,4,83.5
1959,5,54.9
1959,6,62.9
1959,7,63.1
1959,8,32.2
1959,9,38.2
1959,10,146.0
1959,11,121.9
