year,month,nao,date
1993,12,1.56,1993-12-01
1994,1,1.04,1994-01-01
1994,2,0.46,1994-02-01
1994,3,1.26,1994-03-01
1994,4,1.14,1994-04-01
1994,5,-0.57,1994-05-01
1994,6,1.52,1994-06-01
1994,7,1.31,1994-07-01
1994,8,0.38,1994-08-01
1994,9,-1.32,1994-09-01
1994,10,-0.97,1994-10-01
1994,11,0.64,1994-11-01
1994,12,2.02,1994-12-01
1995,1,0.93,1995-01-01
1995,2,1.14,1995-02-01
1995,3,1.25,1995-03-01
1995,4,-0.85,1995-04-01
1995,5,-1.49,1995-05-01
1995,6,0.13,1995-06-01
1995,7,-0.22,1995-07-01
1995,8,0.69,1995-08-01
1995,9,0.31,1995-09-01
1995,10,0.19,1995-10-01
1995,11,-1.38,1995-11-01
1995,12,-1.67,1995-12-01
1996,1,-0.12,1996-01-01
1996,2,-0.07,1996-02-01
1996,3,-0.24,1996-03-01
1996,4,-0.17,1996-04-01
1996,5,-1.06,1996-05-01
1996,6,0.56,1996-06-01
1996,7,0.67,1996-07-01
1996,8,1.02,1996-08-01
1996,9,-0.86,1996-09-01
1996,10,-0.33,1996-10-01
1996,11,-0.56,1996-11-01
1996,12,-1.41,1996-12-01
1997,1,-0.49,1997-01-01
1997,2,1.7,1997-02-01
1997,3,1.46,1997-03-01
1997,4,-1.02,1997-04-01
1997,5,-0.28,1997-05-01
1997,6,-1.47,1997-06-01
1997,7,0.34,1997-07-01
1997,8,0.83,1997-08-01
1997,9,0.61,1997-09-01
1997,10,-1.7,1997-10-01
1997,11,-0.9,1997-11-01
1997,12,-0.96,1997-12-01
1998,1,0.39,1998-01-01
1998,2,-0.11,1998-02-01
1998,3,0.87,1998-03-01
1998,4,-0.68,1998-04-01
1998,5,-1.32,1998-05-01
1998,6,-2.72,1998-06-01
1998,7,-0.48,1998-07-01
1998,8,-0.02,1998-08-01
1998,9,-2.0,1998-09-01
1998,10,-0.29,1998-10-01
1998,11,-0.28,1998-11-01
1998,12,0.87,1998-12-01
1999,1,0.77,1999-01-01
1999,2,0.29,1999-02-01
1999,3,0.23,1999-03-01
1999,4,-0.95,1999-04-01
1999,5,0.92,1999-05-01
1999,6,1.12,1999-06-01
1999,7,-0.9,1999-07-01
1999,8,0.39,1999-08-01
1999,9,0.36,1999-09-01
1999,10,0.2,1999-10-01
1999,11,0.65,1999-11-01
1999,12,1.61,1999-12-01
2000,1,0.6,2000-01-01
2000,2,1.7,2000-02-01
2000,3,0.77,2000-03-01
2000,4,-0.03,2000-04-01
