year,month,ea,date
2007,4,-1.23,2007-04-01
2007,5,1.01,2007-05-01
2007,6,0.55,2007-06-01
2007,7,-0.03,2007-07-01
2007,8,0.07,2007-08-01
2007,9,-0.52,2007-09-01
2007,10,-0.33,2007-10-01
2007,11,-2.07,2007-11-01
2007,12,-0.12,2007-12-01
2008,1,-0.35,2008-01-01
2008,2,0.47,2008-02-01
2008,3,0.16,2008-03-01
2008,4,0.88,2008-04-01
2008,5,-0.85,2008-05-01
2008,6,0.85,2008-06-01
2008,7,0.85,2008-07-01
2008,8,-0.08,2008-08-01
2008,9,-0.3,2008-09-01
2008,10,0.08,2008-10-01
2008,11,-0.89,2008-11-01
2008,12,-1.44,2008-12-01
2009,1,1.13,2009-01-01
2009,2,-0.72,2009-02-01
2009,3,-1.34,2009-03-01
2009,4,0.26,2009-04-01
2009,5,1.12,2009-05-01
2009,6,-1.05,2009-06-01
2009,7,0.33,2009-07-01
2009,8,1.85,2009-08-01
2009,9,0.59,2009-09-01
2009,10,0.96,2009-10-01
2009,11,1.48,2009-11-01
2009,12,0.93,2009-12-01
2010,1,0.38,2010-01-01
2010,2,1.25,2010-02-01
2010,3,1.23,2010-03-01
2010,4,0.09,2010-04-01
2010,5,-1.39,2010-05-01
2010,6,0.34,2010-06-01
2010,7,1.8,2010-07-01
2010,8,1.17,2010-08-01
2010,9,0.55,2010-09-01
2010,10,-0.78,2010-10-01
2010,11,0.24,2010-11-01
2010,12,-0.49,2010-12-01
2011,1,-1.31,2011-01-01
2011,2,0.41,2011-02-01
2011,3,-0.77,2011-03-01
2011,4,-0.59,2011-04-01
2011,5,-0.67,2011-05-01
2011,6,-0.22,2011-06-01
2011,7,0.41,2011-07-01
2011,8,1.04,2011-08-01
2011,9,1.77,2011-09-01
2011,10,-0.28,2011-10-01
2011,11,-0.09,2011-11-01
2011,12,0.11,2011-12-01
2012,1,-1.76,2012-01-01
2012,2,-1.73,2012-02-01
2012,3,-0.64,2012-03-01
2012,4,-0.28,2012-04-01
2012,5,0.52,2012-05-01
2012,6,-0.11,2012-06-01
2012,7,1.02,2012-07-01
2012,8,1.36,2012-08-01
2012,9,0.38,2012-09-01
2012,10,-0.32,2012-10-01
2012,11,1.15,2012-11-01
2012,12,0.68,2012-12-01
2013,1,0.88,2013-01-01
2013,2,0.14,2013-02-01
2013,3,-0.24,2013-03-01
2013,4,1.31,2013-04-01
2013,5,0.14,2013-05-01
2013,6,0.66,2013-06-01
2013,7,0.63,2013-07-01
2013,8,0.34,2013-08-01
2013,9,-0.57,2013-09-01
2013,10,1.39,2013-10-01
2013,11,0.09,2013-11-01
2013,12,1.2,2013-12-01
2014,1,1.37,2014-01-01
2014,2,2.23,2014-02-01
2014,3,0.92,2014-03-01
2014,4,0.52,2014-04-01
2014,5,0.38,2014-05-01
2014,6,-1.03,2014-06-01
2014,7,0.58,2014-07-01
2014,8,0.75,2014-08-01
2014,9,0.2,2014-09-01
2014,10,1.02,2014-10-01
2014,11,0.43,2014-11-01
2014,12,-0.59,2014-12-01
2015,1,1.11,2015-01-01
2015,2,-0.04,2015-02-01
2015,3,1.2,2015-03-01
2015,4,0.88,2015-04-01
2015,5,0.71,2015-05-01
2015,6,1.06,2015-06-01
2015,7,0.22,2015-07-01
2015,8,1.08,2015-08-01
2015,9,0.15,2015-09-01
2015,10,0.22,2015-10-01
2015,11,1.55,2015-11-01
2015,12,3.14,2015-12-01
2016,1,1.01,2016-01-01
2016,2,1.85,2016-02-01
2016,3,0.71,2016-03-01
2016,4,0.97,2016-04-01
2016,5,0.22,2016-05-01
2016,6,0.41,2016-06-01
2016,7,1.82,2016-07-01
2016,8,2.08,2016-08-01
2016,9,3.48,2016-09-01
2016,10,0.42,2016-10-01
2016,11,-0.45,2016-11-01
2016,12,0.87,2016-12-01
2017,1,-1.15,2017-01-01
2017,2,0.58,2017-02-01
2017,3,1.03,2017-03-01
2017,4,-0.62,2017-04-01
2017,5,0.54,2017-05-01
2017,6,2.03,2017-06-01
2017,7,1.83,2017-07-01
2017,8,2.02,2017-08-01
2017,9,1.58,2017-09-01
2017,10,0.62,2017-10-01
2017,11,0.12,2017-11-01
2017,12,-0.5,2017-12-01
2018,1,0.55,2018-01-01
2018,2,-1.38,2018-02-01
2018,3,-0.62,2018-03-01
2018,4,1.13,2018-04-01
2018,5,-0.07,2018-05-01
2018,6,-0.54,2018-06-01
2018,7,2.36,2018-07-01
2018,8,1.82,2018-08-01
2018,9,0.15,2018-09-01
2018,10,-0.39,2018-10-01
2018,11,0.32,2018-11-01
2018,12,1.44,2018-12-01
2019,1,-1.67,2019-01-01
2019,2,-0.12,2019-02-01
2019,3,0.94,2019-03-01
2019,4,-0.96,2019-04-01
2019,5,-0.64,2019-05-01
2019,6,1.28,2019-06-01
2019,7,0.08,2019-07-01
2019,8,1.93,2019-08-01
2019,9,2.19,2019-09-01
2019,10,0.67,2019-10-01
2019,11,0.07,2019-11-01
2019,12,0.81,2019-12-01
2020,1,1.74,2020-01-01
2020,2,1.38,2020-02-01
2020,3,-0.11,2020-03-01
